 X== 8401.877172   Y== 3943.829268
 X== 7830.992238   Y== 7984.400335
 X== 9116.473579   Y== 1975.513693
 X== 3352.227557   Y== 7682.295948
 X== 2777.747108   Y== 5539.699558
 X== 4773.970519   Y== 6288.709248
 X== 3647.844728   Y== 5134.009102
 X== 9522.297252   Y== 9161.950680
 X== 6357.117280   Y== 7172.969294
 X== 1416.025554   Y== 6069.688763
 X== 163.005716   Y== 2428.867706
 X== 1372.315768   Y== 8041.767542
 X== 1566.790893   Y== 4009.443942
 X== 1297.904468   Y== 1088.088020
 X== 9989.245180   Y== 2182.569053
 X== 5129.323944   Y== 8391.122347
 X== 6126.398326   Y== 2960.316177
 X== 6375.522677   Y== 5242.871901
 X== 4935.829870   Y== 9727.750239
 X== 2925.167844   Y== 7713.576978
 X== 5267.449792   Y== 7699.138363
 X== 4002.286221   Y== 8915.294520
 X== 2833.147460   Y== 3524.583473
 X== 8077.245200   Y== 9190.264740
 X== 697.552762   Y== 9493.270754
 X== 5259.953502   Y== 860.558479
 X== 1922.138460   Y== 6632.269270
 X== 8902.326025   Y== 3488.929352
 X== 641.713208   Y== 200.230489
 X== 4577.017373   Y== 630.958383
 X== 2382.799542   Y== 9706.341317
 X== 9022.080735   Y== 8509.197868
 X== 2666.657494   Y== 5397.603407
 X== 3752.069764   Y== 7602.487364
 X== 5125.353641   Y== 6677.237608
 X== 5316.064342   Y== 392.803434
 X== 4376.375966   Y== 9318.350563
 X== 9308.097954   Y== 7209.523431
 X== 2842.934031   Y== 7385.343149
 X== 6399.788166   Y== 3540.486797
 X== 6878.613903   Y== 1659.741663
 X== 4401.045276   Y== 8800.752363
 X== 8292.010933   Y== 3303.371297
 X== 2289.681710   Y== 8933.724146
 X== 3503.601786   Y== 6866.699083
 X== 9564.682529   Y== 5886.401332
 X== 6573.040395   Y== 8586.763259
 X== 4395.599195   Y== 9239.697889
 X== 3984.366667   Y== 8147.668963
 X== 6842.185253   Y== 9109.720308
 X== 4824.906567   Y== 2158.249590
 X== 9502.523741   Y== 9201.282537
 X== 1476.600148   Y== 8810.621695
 X== 6410.805963   Y== 4319.534183
 X== 6195.964839   Y== 2810.594124
 X== 7860.020980   Y== 3074.578737
 X== 4470.335792   Y== 2261.066252
 X== 1875.331095   Y== 2762.346721
 X== 5564.437553   Y== 4165.012806
 X== 1696.070862   Y== 9068.039339
 X== 1031.711884   Y== 1260.753391
 X== 4954.440666   Y== 7604.752284
 X== 9847.516650   Y== 9350.039866
 X== 6844.450169   Y== 3831.883312
 X== 7497.708824   Y== 3686.635417
 X== 2941.603620   Y== 2322.615386
 X== 5844.885006   Y== 2444.127357
 X== 1523.897919   Y== 7321.485159
 X== 1254.749047   Y== 7934.703882
 X== 1641.019337   Y== 7450.713891
 X== 745.298006   Y== 9501.040317
 X== 525.292624   Y== 5215.633798
 X== 1762.106564   Y== 2400.623724
 X== 7977.980519   Y== 7326.544117
 X== 6565.636530   Y== 9674.051385
 X== 6394.583455   Y== 7597.348419
 X== 934.804772   Y== 1349.024117
 X== 5202.100698   Y== 782.321417
 X== 699.063978   Y== 2046.550863
 X== 4614.204734   Y== 8196.772802
 X== 5733.186284   Y== 7555.808354
 X== 519.388188   Y== 1578.071286
 X== 9999.935711   Y== 2043.286107
 X== 8899.556444   Y== 1254.684758
 X== 9977.989993   Y== 540.575777
 X== 8705.398649   Y== 723.287994
 X== 41.616089   Y== 9230.691273
 X== 5938.921792   Y== 1803.722657
 X== 1631.314993   Y== 3916.902306
 X== 9130.266774   Y== 8196.951527
 X== 3590.953687   Y== 5524.850225
 X== 5794.299941   Y== 4525.758459
 X== 6873.874346   Y== 996.400635
 X== 5308.079880   Y== 7572.938324
 X== 3042.951498   Y== 9922.284614
 X== 5769.711126   Y== 8776.137782
 X== 7478.092964   Y== 6289.099313
 X== 354.209067   Y== 7478.028670
 X== 8332.385420   Y== 9253.765512
 X== 8732.713428   Y== 8310.375408
 X== 9794.341293   Y== 7438.112072
 X== 9033.663403   Y== 9835.957382
 X== 6668.803346   Y== 4972.585191
 X== 1639.680034   Y== 8300.118338
 X== 8889.487502   Y== 769.946808
 X== 6497.069861   Y== 2480.441184
 X== 6294.797033   Y== 2291.369798
 X== 7006.199647   Y== 3168.671375
 X== 3287.770433   Y== 2314.279523
 X== 741.609699   Y== 6330.721935
 X== 2236.564132   Y== 6511.320824
 X== 5106.859712   Y== 9714.657096
 X== 2800.420133   Y== 5461.068780
 X== 7192.685761   Y== 1132.805548
 X== 4714.834292   Y== 5925.399189
 X== 9443.180961   Y== 4509.175580
 X== 3363.511257   Y== 8476.844359
 X== 4345.132957   Y== 32.314598
 X== 3449.429550   Y== 5984.812996
 X== 8332.432941   Y== 2338.917047
 X== 6754.759805   Y== 4829.502797
 X== 4819.358231   Y== 3049.556833
 X== 7120.872600   Y== 1825.557874
 X== 6218.228213   Y== 408.643028
 X== 4139.837396   Y== 6959.837911
 X== 6739.364963   Y== 6376.401529
 X== 3471.158731   Y== 1846.224676
 X== 6091.058620   Y== 6271.578863
 X== 7307.293456   Y== 3283.744381
 X== 7404.384412   Y== 2022.127743
 X== 9209.143570   Y== 6847.565368
 X== 6531.303323   Y== 2572.654822
 X== 5324.409728   Y== 876.436280
 X== 2604.969424   Y== 8773.839278
 X== 6861.249277   Y== 937.402361
 X== 1112.756320   Y== 3616.009077
 X== 5766.905158   Y== 5932.114551
 X== 6665.565910   Y== 2887.777753
 X== 7757.672429   Y== 2883.794118
 X== 3296.420785   Y== 1897.509821
 X== 9843.632029   Y== 35.785744
 X== 8273.911354   Y== 3314.790755
 X== 1882.010420   Y== 4364.969970
 X== 9586.369619   Y== 9189.303880
 X== 7648.714351   Y== 6990.754030
 X== 1211.431618   Y== 6857.857917
 X== 3838.319394   Y== 7742.734946
 X== 9430.512744   Y== 9162.729121
 X== 8619.171227   Y== 2035.482164
 X== 7936.568394   Y== 5480.420499
 X== 2972.884524   Y== 9049.324714
 X== 9096.429576   Y== 8739.789682
 X== 4981.439265   Y== 5761.995481
 X== 1627.567435   Y== 2739.111689
 X== 8645.789604   Y== 4923.988220
 X== 4636.621510   Y== 8489.421629
 X== 4959.773964   Y== 2910.532860
 X== 1804.212384   Y== 6841.784388
 X== 7275.502834   Y== 1390.581998
 X== 6031.088264   Y== 4924.217181
 X== 8381.336028   Y== 7242.519882
 X== 1782.075098   Y== 2219.655422
 X== 4985.254824   Y== 1212.587837
